userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
8313,260,190,274,132,175,171,167,,,,,,,,,,,,,,,,,8313,24,22,26,19,25,22,23,8313,25.000,,,,,,0.000,8313,3,,,,,,1
16650,152,111,116,123,100,207,192,16650,3,1,,,,2,1,16650,,,,,,2,2,16650,20,28,17,8,12,31,23,16650,12.500,25.000,,20.625,,,14.000,16650,4,2,,18,,,11
22306,398,235,206,152,190,182,261,,,,,,,,,,,,,,,,,22306,22,22,25,11,21,13,26,22306,25.000,,,,,,10.000,22306,2,,,,,,1
23348,147,252,77,,,,,,,,,,,,,,,,,,,,,23348,17,23,18,0,0,0,,23348,,20.000,,,,,,23348,,4,,,,,
19304,62,102,38,39,73,43,72,,,,,,,,,,,,,,,,,19304,21,21,18,18,19,12,19,19304,25.000,,7.000,7.000,,,10.000,19304,1,,1,2,,,2
23975,7,51,31,32,8,13,37,,,,,,,,,,,,,,,,,23975,7,16,14,10,3,6,13,23975,,,,,,,25.000,23975,,,,,,,4
8418,32,73,15,9,19,13,15,,,,,,,,,,,,,,,,,8418,8,16,13,9,10,9,13,8418,,37.500,,,,,17.500,8418,,40,,,,,12
23079,168,362,343,155,156,198,112,23079,,1,,,,,,,,,,,,,,23079,20,31,32,16,25,26,24,23079,,,25.000,27.500,22.500,17.000,40.000,23079,,,2,24,6,9,2
11169,181,99,207,179,142,124,279,11169,2,,1,,,,,,,,,,,,,11169,40,26,37,34,28,24,33,11169,25.000,,,0.000,,,,11169,2,,,1,,,
18178,191,156,159,118,137,138,154,18178,,,,,,1,,,,,,,,,,18178,17,24,24,17,17,23,25,18178,0.000,30.000,15.000,5.000,70.000,22.500,20.833,18178,1,4,2,6,2,8,16
5790,568,491,545,356,469,490,543,5790,1,,,,1,,,5790,1,2,,,,,,5790,24,18,17,15,20,15,22,5790,41.666,0.000,200.000,50.000,150.000,,,5790,6,4,1,2,2,,
17764,175,91,74,99,136,61,,17764,,,1,,,,,,,,,,,,,17764,32,22,25,19,23,12,0,17764,,25.000,15.000,,25.000,27.500,,17764,,5,1,,9,4,
11699,232,231,160,219,327,179,206,11699,,,1,,,1,,11699,1,,,,5,2,2,11699,19,25,20,24,32,13,24,11699,25.000,,26.666,17.500,25.000,22.500,,11699,1,,6,6,2,3,
19540,119,190,177,157,174,200,144,19540,,,,1,,,,,,,,,,,,19540,28,35,46,44,42,37,35,19540,,37.500,20.000,22.500,21.000,,,19540,,35,3,3,9,,
9363,64,117,92,82,101,23,58,,,,,,,,,,,,,,,,,9363,12,28,12,22,23,6,3,9363,25.000,29.000,20.000,7.500,,,35.000,9363,3,22,3,16,,,6
11110,408,410,414,298,382,211,218,11110,,,,,,1,,11110,,,,1,4,,,11110,42,45,33,45,41,31,38,11110,11.625,11.714,28.333,14.000,28.750,30.000,20.000,11110,12,16,35,12,7,17,6
24195,,34,104,116,128,207,132,,,,,,,,,,,,,,,,,24195,,7,10,16,10,21,17,24195,,,15.000,,,,20.000,24195,,,3,,,,9
16143,335,143,223,95,85,199,113,16143,2,,,2,,1,,,,,,,,,,16143,41,19,29,20,19,24,20,16143,25.000,9.000,16.000,38.000,5.000,,10.000,16143,3,4,7,6,1,,1
14165,100,67,78,152,442,202,239,14165,2,,,,,,,14165,,,1,,,,,14165,4,7,6,11,30,24,27,14165,,,,100.000,25.000,,15.000,14165,,,,1,5,,2
6593,71,42,34,63,81,84,50,,,,,,,,,,,,,,,,,6593,10,21,14,18,14,16,18,6593,22.000,,,20.000,,20.000,15.000,6593,3,,,6,,20,7
10456,205,104,270,210,98,93,101,,,,,,,,,,,,,,,,,10456,29,32,35,32,32,32,30,10456,7.333,,,31.000,,30.000,24.615,10456,7,,,37,,1,19
20696,193,115,65,34,272,63,106,,,,,,,,,20696,2,,,,3,,,20696,23,20,19,16,22,13,8,20696,25.000,21.666,,,18.666,40.000,27.083,20696,2,11,,,85,2,50
22751,156,49,93,195,102,398,153,22751,1,,,,,1,1,,,,,,,,,22751,27,21,23,25,23,41,29,22751,9.000,,7.000,33.800,,15.833,20.714,22751,4,,6,11,,10,36
8811,157,267,154,123,233,121,150,8811,1,4,1,,1,,,8811,1,1,,,,,,8811,33,36,28,27,34,31,34,8811,25.000,20.000,,28.000,,,,8811,2,4,,20,,,
9065,103,239,55,103,35,4,,,,,,,,,,,,,,,,,,9065,25,36,26,23,16,18,23,9065,,25.000,,,,,,9065,,2,,,,,
8271,288,192,144,201,150,142,342,8271,2,,,,,,,8271,,1,,,,,,8271,32,14,14,17,23,19,35,8271,,,,40.000,,30.000,25.000,8271,,,,55,,1,44
5975,87,79,67,73,88,58,128,5975,,,,,,1,,,,,,,,,,5975,17,19,14,13,21,13,34,5975,25.000,25.000,13.333,32.000,25.000,,21.818,5975,1,1,5,13,8,,48
22548,52,42,40,46,243,130,242,22548,,,,1,,,,22548,,,,4,1,,,22548,15,20,7,8,10,10,13,22548,0.000,,,18.333,6.250,,17.200,22548,4,,,9,6,,71
6705,82,85,,49,208,190,66,6705,,2,,2,8,3,,6705,7,2,,3,13,13,11,6705,12,11,0,5,25,33,22,6705,25.000,,,30.000,,25.000,,6705,2,,,2,,1,
22907,132,215,278,139,132,359,320,22907,,,,,,1,,22907,,,,,,1,,22907,21,23,24,8,12,24,14,22907,,32.500,17.500,22.500,25.000,30.000,10.000,22907,,2,13,8,2,2,1
15395,155,61,139,180,106,62,84,15395,,,1,,,,,15395,,,,5,,,,15395,26,22,23,26,23,16,25,15395,13.750,,16.000,21.833,18.750,,,15395,5,,5,16,6,,
